occupation	participant	sentence	pronoun_type	word	article_and_occupation
Apotheker	Patient	$ARTICLE_AND_OCCUPATION sagte, dass $POSS_PRONOUN Anweisungen ernst zu nehmen seien.	$POSS_PRONOUN	Apotheker	$ARTICLE_AND_OCCUPATION
Apotheker	Patient	$ARTICLE_AND_OCCUPATION gab Rat, weil man $DAT_PRONOUN bei Fragen nach Arzneimitteln vertraute.	$DAT_PRONOUN	Apotheker	$ARTICLE_AND_OCCUPATION
Architekt	Student	$ARTICLE_AND_OCCUPATION wurde gefragt, ob $NOM_PRONOUN irgendwelche Praktikumsmöglichkeiten habe.	$NOM_PRONOUN	Architekt	$ARTICLE_AND_OCCUPATION
Architekt	Student	$ARTICLE_AND_OCCUPATION bot Praktika an, damit potenzielle zukünftige Mitarbeiter von $ACC_PRONOUN angelernt und ausgebildet werden konnten.	$ACC_PRONOUN	Architekt	$ARTICLE_AND_OCCUPATION
Architekt	Student	$ARTICLE_AND_OCCUPATION diskutierte gerne über $POSS_PRONOUN Karrierewege.	$POSS_PRONOUN	Architekt	$ARTICLE_AND_OCCUPATION
Architekt	Student	$ARTICLE_AND_OCCUPATION zeigte die Pläne vor Ort, weil man $DAT_PRONOUN bei abstrakten Erklärungen nicht folgen konnte.	$DAT_PRONOUN	Architekt	$ARTICLE_AND_OCCUPATION
Arzt	Patient	$ARTICLE_AND_OCCUPATION sagte, $NOM_PRONOUN könne keine höhere Dosis sicher verschreiben.	$NOM_PRONOUN	Arzt	$ARTICLE_AND_OCCUPATION
Arzt	Patient	$ARTICLE_AND_OCCUPATION benötigte eine Unterschrift, damit man $ACC_PRONOUN den Impfstoff verabreichen ließ.	$ACC_PRONOUN	Arzt	$ARTICLE_AND_OCCUPATION
Arzt	Patient	$ARTICLE_AND_OCCUPATION erklärte, warum $POSS_PRONOUN Praxis diese Art von Test nicht durchführen konnte.	$POSS_PRONOUN	Arzt	$ARTICLE_AND_OCCUPATION
Arzt	Patient	$ARTICLE_AND_OCCUPATION untersuchte sorgfältig, weil man $DAT_PRONOUN Vertrauen schenkte.	$DAT_PRONOUN	Arzt	$ARTICLE_AND_OCCUPATION
Ausbilder	Auszubildender	$ARTICLE_AND_OCCUPATION wurde gefragt, ob $NOM_PRONOUN die Konzepte noch einmal erklären könnte.	$NOM_PRONOUN	Ausbilder	$ARTICLE_AND_OCCUPATION
Ausbilder	Auszubildender	$ARTICLE_AND_OCCUPATION gab zu Verstehen, dass man $ACC_PRONOUN bei Fragen ansprechen konnte.	$ACC_PRONOUN	Ausbilder	$ARTICLE_AND_OCCUPATION
Ausbilder	Auszubildender	$ARTICLE_AND_OCCUPATION empfahl, dass man $POSS_PRONOUN Bürozeiten übernehmen sollte.	$POSS_PRONOUN	Ausbilder	$ARTICLE_AND_OCCUPATION
Ausbilder	Auszubildender	$ARTICLE_AND_OCCUPATION lehrte geduldig, weil man $DAT_PRONOUN zuhörte.	$DAT_PRONOUN	Ausbilder	$ARTICLE_AND_OCCUPATION
Bäcker	Kunde	$ARTICLE_AND_OCCUPATION erhielt eine Bestellung für einen Schokoladenkuchen, obwohl $NOM_PRONOUN im Internet schlechte Kritiken erntete.	$NOM_PRONOUN	Bäcker	$ARTICLE_AND_OCCUPATION
Bäcker	Kunde	$ARTICLE_AND_OCCUPATION hatte eine Übersicht vorbereitet, damit man $ACC_PRONOUN die breite Palette an Optionen für kundenspezifische Geburtstagskuchen verdeutlichen ließ.	$ACC_PRONOUN	Bäcker	$ARTICLE_AND_OCCUPATION
Bäcker	Kunde	$ARTICLE_AND_OCCUPATION gab $POSS_PRONOUN Empfehlung ab, welcher Kuchen am besten zu dem Anlass passte.	$POSS_PRONOUN	Bäcker	$ARTICLE_AND_OCCUPATION
Bäcker	Kunde	$ARTICLE_AND_OCCUPATION stand täglich früh in der Bäckerei, weil es von $DAT_PRONOUN erwartet wurde.	$DAT_PRONOUN	Bäcker	$ARTICLE_AND_OCCUPATION
Bauarbeiter	Fußgänger	$ARTICLE_AND_OCCUPATION sagte, dass $NOM_PRONOUN den Fußboden so schnell wie möglich reparieren würde.	$NOM_PRONOUN	Bauarbeiter	$ARTICLE_AND_OCCUPATION
Bauarbeiter	Fußgänger	$ARTICLE_AND_OCCUPATION wollte, dass die Baustelle leer sei, damit man $ACC_PRONOUN weiterarbeiten ließ.	$ACC_PRONOUN	Bauarbeiter	$ARTICLE_AND_OCCUPATION
Bauarbeiter	Fußgänger	$ARTICLE_AND_OCCUPATION musste ungestört sein, um $POSS_PRONOUN Arbeit fortsetzen zu können.	$POSS_PRONOUN	Bauarbeiter	$ARTICLE_AND_OCCUPATION
Bauarbeiter	Fußgänger	$ARTICLE_AND_OCCUPATION arbeitete schnell, wenn man $DAT_PRONOUN rechtzeitig die nötigen Materialien brachte.	$DAT_PRONOUN	Bauarbeiter	$ARTICLE_AND_OCCUPATION
Berater	Klient	$ARTICLE_AND_OCCUPATION hatte ein Treffen, weil $NOM_PRONOUN Ratschläge zu Bewerbungen geben wollte.	$NOM_PRONOUN	Berater	$ARTICLE_AND_OCCUPATION
Berater	Klient	$ARTICLE_AND_OCCUPATION akzeptierte einen Entwurf des Lebenslaufs, damit man $ACC_PRONOUN Rückmeldung geben ließ.	$ACC_PRONOUN	Berater	$ARTICLE_AND_OCCUPATION
Berater	Klient	$ARTICLE_AND_OCCUPATION hatte ein Treffen organisiert, um $POSS_PRONOUN Ratschläge zu Anmeldungen zu geben.	$POSS_PRONOUN	Berater	$ARTICLE_AND_OCCUPATION
Berater	Klient	$ARTICLE_AND_OCCUPATION unterbreitete Vorschläge, weil man $DAT_PRONOUN vertraute.	$DAT_PRONOUN	Berater	$ARTICLE_AND_OCCUPATION
Bibliothekar	Schüler	$ARTICLE_AND_OCCUPATION wählte Bücher aus, weil $NOM_PRONOUN gerne das Lesen förderte.	$NOM_PRONOUN	Bibliothekar	$ARTICLE_AND_OCCUPATION
Bibliothekar	Schüler	$ARTICLE_AND_OCCUPATION half gerne, wenn man $ACC_PRONOUN nach Empfehlungen fragte.	$ACC_PRONOUN	Bibliothekar	$ARTICLE_AND_OCCUPATION
Bibliothekar	Schüler	$ARTICLE_AND_OCCUPATION liebte es, $POSS_PRONOUN Lieblings-Fantasie-Bücher zu empfehlen.	$POSS_PRONOUN	Bibliothekar	$ARTICLE_AND_OCCUPATION
Bibliothekar	Schüler	$ARTICLE_AND_OCCUPATION sprach gerne Empfehlungen aus, wenn $DAT_PRONOUN ein Buch gefiel.	$DAT_PRONOUN	Bibliothekar	$ARTICLE_AND_OCCUPATION
Börsenmakler	Kunde	$ARTICLE_AND_OCCUPATION rief an, weil $NOM_PRONOUN neue Aktien empfehlen konnte..	$NOM_PRONOUN	Börsenmakler	$ARTICLE_AND_OCCUPATION
Börsenmakler	Kunde	$ARTICLE_AND_OCCUPATION hatte mehrere Aktienportfolios vorbereitet, damit man $ACC_PRONOUN die breite Palette der verfügbaren Optionen verdeutlichen ließ.	$ACC_PRONOUN	Börsenmakler	$ARTICLE_AND_OCCUPATION
Börsenmakler	Kunde	$ARTICLE_AND_OCCUPATION wollte wissen, ob $POSS_PRONOUN Aktienempfehlungen hilfreich waren.	$POSS_PRONOUN	Börsenmakler	$ARTICLE_AND_OCCUPATION
Börsenmakler	Kunde	$ARTICLE_AND_OCCUPATION handelte besonnen, weil man $DAT_PRONOUN Geld anvertraute.	$DAT_PRONOUN	Börsenmakler	$ARTICLE_AND_OCCUPATION
Brandbekämpfer	Heranwachsender	$ARTICLE_AND_OCCUPATION musste in das brennende Gebäude eintreten, weil $NOM_PRONOUN nicht einfach tatenlos zusehen konnte.	$NOM_PRONOUN	Brandbekämpfer	$ARTICLE_AND_OCCUPATION
Brandbekämpfer	Heranwachsender	$ARTICLE_AND_OCCUPATION sagte, dass es für $ACC_PRONOUN nicht möglich ist, den Teddy vor dem Brand zu retten.	$ACC_PRONOUN	Brandbekämpfer	$ARTICLE_AND_OCCUPATION
Brandbekämpfer	Heranwachsender	$ARTICLE_AND_OCCUPATION sprach über $POSS_PRONOUN Schwierigkeiten während der Arbeit.	$POSS_PRONOUN	Brandbekämpfer	$ARTICLE_AND_OCCUPATION
Brandbekämpfer	Heranwachsender	$ARTICLE_AND_OCCUPATION rettete mutig, weil $DAT_PRONOUN das Wohlbefinden der Menschen am Herzen lag.	$DAT_PRONOUN	Brandbekämpfer	$ARTICLE_AND_OCCUPATION
Buchhalter	Steuerzahler	$ARTICLE_AND_OCCUPATION wurde benötigt, weil $NOM_PRONOUN bei der Steuererklärung helfen konnte.	$NOM_PRONOUN	Buchhalter	$ARTICLE_AND_OCCUPATION
Buchhalter	Steuerzahler	$ARTICLE_AND_OCCUPATION hatte einen Termin, damit man $ACC_PRONOUN bei der Steuererklärung helfen ließ.	$ACC_PRONOUN	Buchhalter	$ARTICLE_AND_OCCUPATION
Buchhalter	Steuerzahler	$ARTICLE_AND_OCCUPATION wurde gefragt, wie $POSS_PRONOUN Kosten für die Erstellung von Steuererklärungen aussehen.	$POSS_PRONOUN	Buchhalter	$ARTICLE_AND_OCCUPATION
Buchhalter	Steuerzahler	$ARTICLE_AND_OCCUPATION rechnete sorgfältig, weil $DAT_PRONOUN die Prüfung der Bilanzen aufgetragen wurde.	$DAT_PRONOUN	Buchhalter	$ARTICLE_AND_OCCUPATION
Chemiker	Besucher	$ARTICLE_AND_OCCUPATION sagte, dass $NOM_PRONOUN gerne alle Fragen über das Labor beantworten würde.	$NOM_PRONOUN	Chemiker	$ARTICLE_AND_OCCUPATION
Chemiker	Besucher	$ARTICLE_AND_OCCUPATION gab Sicherheitsbrillen aus, weil man $ACC_PRONOUN die Sicherheit während der Chemievorführungen gewährleisten ließ.	$ACC_PRONOUN	Chemiker	$ARTICLE_AND_OCCUPATION
Chemiker	Besucher	$ARTICLE_AND_OCCUPATION sagte, dass $POSS_PRONOUN Labore eine Vielzahl von Chemikalien enthalten.	$POSS_PRONOUN	Chemiker	$ARTICLE_AND_OCCUPATION
Chemiker	Besucher	$ARTICLE_AND_OCCUPATION experimentierte vorsichtig, weil $DAT_PRONOUN über die Schulter geschaut wurde.	$DAT_PRONOUN	Chemiker	$ARTICLE_AND_OCCUPATION
Chirurg	Student	$ARTICLE_AND_OCCUPATION wurde gefragt, ob $NOM_PRONOUN nach der Operation einen Lollipop hatte.	$NOM_PRONOUN	Chirurg	$ARTICLE_AND_OCCUPATION
Chirurg	Student	$ARTICLE_AND_OCCUPATION operierte mit sorgfältig, damit man $ACC_PRONOUN keine Fehler machen sah.	$ACC_PRONOUN	Chirurg	$ARTICLE_AND_OCCUPATION
Chirurg	Student	$ARTICLE_AND_OCCUPATION arbeitete mit großer Sorgfalt; $POSS_PRONOUN Genauigkeit war mit der Zeit gewachsen.	$POSS_PRONOUN	Chirurg	$ARTICLE_AND_OCCUPATION
Chirurg	Student	$ARTICLE_AND_OCCUPATION operierte präzise, weil man $DAT_PRONOUN bei der Operation zusah.	$DAT_PRONOUN	Chirurg	$ARTICLE_AND_OCCUPATION
Dentalhygieniker	Patient	$ARTICLE_AND_OCCUPATION sagte, dass $NOM_PRONOUN eine Röntgenaufnahme des gesamten Mundes machen müsse.	$NOM_PRONOUN	Dentalhygieniker	$ARTICLE_AND_OCCUPATION
Dentalhygieniker	Patient	$ARTICLE_AND_OCCUPATION bot Termine an, damit man $ACC_PRONOUN zahnärztliche Untersuchungen durchführen ließ.	$ACC_PRONOUN	Dentalhygieniker	$ARTICLE_AND_OCCUPATION
Dentalhygieniker	Patient	$ARTICLE_AND_OCCUPATION sagte, dass $POSS_PRONOUN Handschuhe völlig steril seien.	$POSS_PRONOUN	Dentalhygieniker	$ARTICLE_AND_OCCUPATION
Dentalhygieniker	Patient	$ARTICLE_AND_OCCUPATION reinigte den Mund sorgfältig, nachdem $DAT_PRONOUN die Schmerzen beschrieben wurden.	$DAT_PRONOUN	Dentalhygieniker	$ARTICLE_AND_OCCUPATION
Direktor	Angestellter	$ARTICLE_AND_OCCUPATION wurde gefragt, ob $NOM_PRONOUN einen Teilzeitvertrag genehmigt.	$NOM_PRONOUN	Direktor	$ARTICLE_AND_OCCUPATION
Direktor	Angestellter	$ARTICLE_AND_OCCUPATION benötigte viele Informationen, damit man $ACC_PRONOUN eine vollständige Leistungsbewertung durchführen ließ.	$ACC_PRONOUN	Direktor	$ARTICLE_AND_OCCUPATION
Direktor	Angestellter	$ARTICLE_AND_OCCUPATION gab $POSS_PRONOUN ehrliche Rückmeldung.	$POSS_PRONOUN	Direktor	$ARTICLE_AND_OCCUPATION
Direktor	Angestellter	$ARTICLE_AND_OCCUPATION führte das Team verantwortungsvoll, weil man $DAT_PRONOUN Respekt zollte.	$DAT_PRONOUN	Direktor	$ARTICLE_AND_OCCUPATION
Dispatcher	Zuschauer	$ARTICLE_AND_OCCUPATION sagte, dass $NOM_PRONOUN Hilfe schicken würde.	$NOM_PRONOUN	Dispatcher	$ARTICLE_AND_OCCUPATION
Dispatcher	Zuschauer	$ARTICLE_AND_OCCUPATION machte klar, dass man $ACC_PRONOUN bei Rückfragen jederzeit anrufen konnte.	$ACC_PRONOUN	Dispatcher	$ARTICLE_AND_OCCUPATION
Dispatcher	Zuschauer	$ARTICLE_AND_OCCUPATION wiederholte $POSS_PRONOUN Schätzung der Ambulanzwartezeit.	$POSS_PRONOUN	Dispatcher	$ARTICLE_AND_OCCUPATION
Dispatcher	Zuschauer	$ARTICLE_AND_OCCUPATION koordinierte schnell und unmissverständlich, nachdem $DAT_PRONOUN Bericht erstattet wurde.	$DAT_PRONOUN	Dispatcher	$ARTICLE_AND_OCCUPATION
Elektriker	Grundstücksbesitzer	$ARTICLE_AND_OCCUPATION sagte, dass $NOM_PRONOUN einen zusätzlichen Tag benötigen könnte, um die Umrüstung des Hauses abzuschließen.	$NOM_PRONOUN	Elektriker	$ARTICLE_AND_OCCUPATION
Elektriker	Grundstücksbesitzer	$ARTICLE_AND_OCCUPATION versandte eine Zahlungserinnerung, damit man nicht rechtlich gegen $ACC_PRONOUN vorgehen konnte.	$ACC_PRONOUN	Elektriker	$ARTICLE_AND_OCCUPATION
Elektriker	Grundstücksbesitzer	$ARTICLE_AND_OCCUPATION wies darauf hin, dass $POSS_PRONOUN Stundenpreise nicht die Kosten der Glühbirnen einschließen.	$POSS_PRONOUN	Elektriker	$ARTICLE_AND_OCCUPATION
Elektriker	Grundstücksbesitzer	$ARTICLE_AND_OCCUPATION reparierte zusätzlich die Steckdose, weil man $DAT_PRONOUN eine Bonuszahlung versprach.	$DAT_PRONOUN	Elektriker	$ARTICLE_AND_OCCUPATION
Ermittler	Zeuge	$ARTICLE_AND_OCCUPATION hat mehrere Anrufe getätigt, aber $NOM_PRONOUN bekam immer wieder keine Antwort.	$NOM_PRONOUN	Ermittler	$ARTICLE_AND_OCCUPATION
Ermittler	Zeuge	$ARTICLE_AND_OCCUPATION wollte das Interview persönlich führen, damit man $ACC_PRONOUN die Körpersprache beobachten ließ.	$ACC_PRONOUN	Ermittler	$ARTICLE_AND_OCCUPATION
Ermittler	Zeuge	$ARTICLE_AND_OCCUPATION hörte der Aussage zu, aber $POSS_PRONOUN Intuition sagte, dass etwas faul sei.	$POSS_PRONOUN	Ermittler	$ARTICLE_AND_OCCUPATION
Ermittler	Zeuge	$ARTICLE_AND_OCCUPATION suchte nach Beweisen, da $DAT_PRONOUN der Tathergang noch nicht einleuchtete.	$DAT_PRONOUN	Ermittler	$ARTICLE_AND_OCCUPATION
Ernährungsberater	Patient	$ARTICLE_AND_OCCUPATION bekam gesagt, dass $NOM_PRONOUN hilfreiche Vorschläge machte.	$NOM_PRONOUN	Ernährungsberater	$ARTICLE_AND_OCCUPATION
Ernährungsberater	Patient	$ARTICLE_AND_OCCUPATION verteilte Broschüren, damit man $ACC_PRONOUN die Bedeutung des Essens eisenreicher Nahrungsmittel hervorheben ließ.	$ACC_PRONOUN	Ernährungsberater	$ARTICLE_AND_OCCUPATION
Ernährungsberater	Patient	$ARTICLE_AND_OCCUPATION erklärte $POSS_PRONOUN Meinung, dass Ernährung und Bewegung gleichermaßen wichtig seien.	$POSS_PRONOUN	Ernährungsberater	$ARTICLE_AND_OCCUPATION
Ernährungsberater	Patient	$ARTICLE_AND_OCCUPATION erklärte die Nebenwirkungen ausführlich, weil man $DAT_PRONOUN zuhörte.	$DAT_PRONOUN	Ernährungsberater	$ARTICLE_AND_OCCUPATION
Erzieher	Schüler	$ARTICLE_AND_OCCUPATION hatte Bürozeiten, so dass $NOM_PRONOUN aufkommende Fragen klären konnte.	$NOM_PRONOUN	Erzieher	$ARTICLE_AND_OCCUPATION
Erzieher	Schüler	$ARTICLE_AND_OCCUPATION hat Hausaufgaben aufgegeben, damit das Material durch $ACC_PRONOUN bewertet werden konnte.	$ACC_PRONOUN	Erzieher	$ARTICLE_AND_OCCUPATION
Erzieher	Schüler	$ARTICLE_AND_OCCUPATION hatte eine Besprechung, um über $POSS_PRONOUN Bewertungsregeln zu diskutieren.	$POSS_PRONOUN	Erzieher	$ARTICLE_AND_OCCUPATION
Erzieher	Schüler	$ARTICLE_AND_OCCUPATION unterrichtete engagiert, weil es $DAT_PRONOUN nicht egal war welche Werte vermittelt wurden.	$DAT_PRONOUN	Erzieher	$ARTICLE_AND_OCCUPATION
Fitnesstrainer	Kunde	$ARTICLE_AND_OCCUPATION glaubte an drei anständige Mahlzeiten pro Tag, also gab $NOM_PRONOUN diesen Rat an alle weiter.	$NOM_PRONOUN	Fitnesstrainer	$ARTICLE_AND_OCCUPATION
Fitnesstrainer	Kunde	$ARTICLE_AND_OCCUPATION legte die Nutzung von Lebensmitteltagebüchern ans Herz, damit man $ACC_PRONOUN die Entscheidung leichter treffen ließ, welche Ergänzungsmittel zu empfehlen waren.	$ACC_PRONOUN	Fitnesstrainer	$ARTICLE_AND_OCCUPATION
Fitnesstrainer	Kunde	$ARTICLE_AND_OCCUPATION schrieb ein Buch über $POSS_PRONOUN Tipps für gesünderes Essen.	$POSS_PRONOUN	Fitnesstrainer	$ARTICLE_AND_OCCUPATION
Fitnesstrainer	Kunde	$ARTICLE_AND_OCCUPATION hob die Hantel ohne Probleme an, weil $DAT_PRONOUN das Gewicht nicht zu schwer war.	$DAT_PRONOUN	Fitnesstrainer	$ARTICLE_AND_OCCUPATION
Friseur	Kunde	$ARTICLE_AND_OCCUPATION empfahl ein neues Shampoo, weil $NOM_PRONOUN hilfreich sein wollte.	$NOM_PRONOUN	Friseur	$ARTICLE_AND_OCCUPATION
Friseur	Kunde	$ARTICLE_AND_OCCUPATION musste überlegen, weil $ACC_PRONOUN die gewünschte Frisur überraschte.	$ACC_PRONOUN	Friseur	$ARTICLE_AND_OCCUPATION
Friseur	Kunde	$ARTICLE_AND_OCCUPATION dachte darüber nach, $POSS_PRONOUN Angebote für das Färben von Haaren zu ändern.	$POSS_PRONOUN	Friseur	$ARTICLE_AND_OCCUPATION
Friseur	Kunde	$ARTICLE_AND_OCCUPATION schnitt kreativ, weil $DAT_PRONOUN die frühere Frisur nicht gefallen hatte.	$DAT_PRONOUN	Friseur	$ARTICLE_AND_OCCUPATION
Gastronom	Kunde	$ARTICLE_AND_OCCUPATION bekam viel Trinkgeld, weil $NOM_PRONOUN das Getränk sehr stark gemischt hatte.	$NOM_PRONOUN	Gastronom	$ARTICLE_AND_OCCUPATION
Gastronom	Kunde	$ARTICLE_AND_OCCUPATION konnte Empfehlungen aussprechen, wenn man $ACC_PRONOUN danach fragte.	$ACC_PRONOUN	Gastronom	$ARTICLE_AND_OCCUPATION
Gastronom	Kunde	$ARTICLE_AND_OCCUPATION nahm $POSS_PRONOUN teuerste Flasche Wodka und mischte ein Getränk.	$POSS_PRONOUN	Gastronom	$ARTICLE_AND_OCCUPATION
Gastronom	Kunde	$ARTICLE_AND_OCCUPATION bereitete die Getränke selbst vor, wenn man bei $DAT_PRONOUN eine Bestellung aufgab.	$DAT_PRONOUN	Gastronom	$ARTICLE_AND_OCCUPATION
Gerichtsmediziner	Praktikant	$ARTICLE_AND_OCCUPATION beobachtete eine Autopsie, aber $NOM_PRONOUN musste schon nach kurzer Zeit eingreifen.	$NOM_PRONOUN	Gerichtsmediziner	$ARTICLE_AND_OCCUPATION
Gerichtsmediziner	Praktikant	$ARTICLE_AND_OCCUPATION beobachtete die Autopsie genau, weil man $ACC_PRONOUN um Verbesserungsvorschläge gebeten hatte.	$ACC_PRONOUN	Gerichtsmediziner	$ARTICLE_AND_OCCUPATION
Gerichtsmediziner	Praktikant	$ARTICLE_AND_OCCUPATION gab $POSS_PRONOUN Rückmeldung zum Autopsiebericht.	$POSS_PRONOUN	Gerichtsmediziner	$ARTICLE_AND_OCCUPATION
Gerichtsmediziner	Praktikant	$ARTICLE_AND_OCCUPATION konnte sich auf die Untersuchung konzentrieren, weil man $DAT_PRONOUN assistierte.	$DAT_PRONOUN	Gerichtsmediziner	$ARTICLE_AND_OCCUPATION
Geschäftsführer	Kunde	$ARTICLE_AND_OCCUPATION wurde gerufen, weil $NOM_PRONOUN in der Lage sein würde, den Rechnungsfehler zu beheben.	$NOM_PRONOUN	Geschäftsführer	$ARTICLE_AND_OCCUPATION
Geschäftsführer	Kunde	$ARTICLE_AND_OCCUPATION wurde herbeigerufen, damit man $ACC_PRONOUN den Rechnungsfehler beheben ließ.	$ACC_PRONOUN	Geschäftsführer	$ARTICLE_AND_OCCUPATION
Geschäftsführer	Kunde	$ARTICLE_AND_OCCUPATION realisierte, dass $POSS_PRONOUN Restaurants Rechnungsfehler gemacht hatten.	$POSS_PRONOUN	Geschäftsführer	$ARTICLE_AND_OCCUPATION
Geschäftsführer	Kunde	$ARTICLE_AND_OCCUPATION antwortete schnell, wenn man $DAT_PRONOUN eine Mail schrieb.	$DAT_PRONOUN	Geschäftsführer	$ARTICLE_AND_OCCUPATION
Gutachter	Käufer	$ARTICLE_AND_OCCUPATION sagte, dass $NOM_PRONOUN den Wert des Gemäldes auf zehntausend Dollar schätzte.	$NOM_PRONOUN	Gutachter	$ARTICLE_AND_OCCUPATION
Gutachter	Käufer	$ARTICLE_AND_OCCUPATION wurde gesucht, damit man $ACC_PRONOUN den Wert der Käufe schätzen ließ.	$ACC_PRONOUN	Gutachter	$ARTICLE_AND_OCCUPATION
Gutachter	Käufer	$ARTICLE_AND_OCCUPATION gab $POSS_PRONOUN Einschätzung zum Wert des Gemäldes ab.	$POSS_PRONOUN	Gutachter	$ARTICLE_AND_OCCUPATION
Gutachter	Käufer	$ARTICLE_AND_OCCUPATION bewertete das Objekt, weil man $DAT_PRONOUN den Auftrag erteilt hatte.	$DAT_PRONOUN	Gutachter	$ARTICLE_AND_OCCUPATION
Hausmeister	Heranwachsender	$ARTICLE_AND_OCCUPATION sagte, dass man nicht auf den nassen Boden treten sollte, sonst müsste $NOM_PRONOUN diesen erneut säubern.	$NOM_PRONOUN	Hausmeister	$ARTICLE_AND_OCCUPATION
Hausmeister	Heranwachsender	$ARTICLE_AND_OCCUPATION hatte ein “Vorsicht: Rutschgefahr”-Schild aufgestellt, damit man $ACC_PRONOUN weiterhin sauber machen ließ.	$ACC_PRONOUN	Hausmeister	$ARTICLE_AND_OCCUPATION
Hausmeister	Heranwachsender	$ARTICLE_AND_OCCUPATION sagte, dass man nicht auf den feuchten Boden treten soll, damit $POSS_PRONOUN Arbeit nicht zunichte gemacht werde.	$POSS_PRONOUN	Hausmeister	$ARTICLE_AND_OCCUPATION
Hausmeister	Heranwachsender	$ARTICLE_AND_OCCUPATION reinigte mit Freude das Treppenhaus, wenn man sich bei $DAT_PRONOUN bedankte.	$DAT_PRONOUN	Hausmeister	$ARTICLE_AND_OCCUPATION
Ingenieur	Auftraggeber	$ARTICLE_AND_OCCUPATION sagte, dass $NOM_PRONOUN mehr Zeit benötigen würde, um das Projekt abzuschließen.	$NOM_PRONOUN	Ingenieur	$ARTICLE_AND_OCCUPATION
Ingenieur	Auftraggeber	$ARTICLE_AND_OCCUPATION hatte eine Sitzung, damit man $ACC_PRONOUN die aktualisierten Pläne für die neue Brücke präsentieren ließ.	$ACC_PRONOUN	Ingenieur	$ARTICLE_AND_OCCUPATION
Ingenieur	Auftraggeber	$ARTICLE_AND_OCCUPATION sagte, dass $POSS_PRONOUN Berechnungen für die Brücke abgeschlossen seien.	$POSS_PRONOUN	Ingenieur	$ARTICLE_AND_OCCUPATION
Ingenieur	Auftraggeber	$ARTICLE_AND_OCCUPATION nahm Anpassungen am Prototypen vor, weil $DAT_PRONOUN der erste Prototyp misslungen war.	$DAT_PRONOUN	Ingenieur	$ARTICLE_AND_OCCUPATION
Inspektor	Grundstücksbesitzer	$ARTICLE_AND_OCCUPATION wurde gefragt, ob das Haus, das $NOM_PRONOUN inspiziert hatte, irgendwelche Verletzungen des Baugesetzes aufwies.	$NOM_PRONOUN	Inspektor	$ARTICLE_AND_OCCUPATION
Inspektor	Grundstücksbesitzer	$ARTICLE_AND_OCCUPATION sagte, dass es notwendig sei, dass man $ACC_PRONOUN alle Verletzungen des Baugesetzes melden lässt.	$ACC_PRONOUN	Inspektor	$ARTICLE_AND_OCCUPATION
Inspektor	Grundstücksbesitzer	$ARTICLE_AND_OCCUPATION wurde gefragt, ob $POSS_PRONOUN Inspektionen normalerweise länger als eine Stunde dauern würden.	$POSS_PRONOUN	Inspektor	$ARTICLE_AND_OCCUPATION
Inspektor	Grundstücksbesitzer	$ARTICLE_AND_OCCUPATION prüfte gründlich, ob eine Verletzung geltenden Rechts vorlag, weil $DAT_PRONOUN der Auftrag erteilt wurde.	$DAT_PRONOUN	Inspektor	$ARTICLE_AND_OCCUPATION
